date,domestic_ordinary_shares,foreign_ordinary_shares,fgn_bonds,treasury_bills,agency_bonds_(nmrc_&_fmbn),sukuk_bonds,green_bonds,state_govt._securities,corporate_bonds,corporate_infrastructure_bonds,corporate_green_bonds,supranational_bonds,banks,commercial_papers,foreign_money_market_securities,reits,real_estate_properties,private_equity_fund,infrastructure_fund,cash_&_other_assets,other_liabilities,grand_total
2019-05-02,545.7631,60.89762,4531.47781,1966.44382,12.0088,89.62821,7.871,136.0042,458.60956,10.7055,6.95066,6.06813,959.21335,54.8062,22.40066,14.11796,250.00593,30.21803,29.31039,29.33004,-10.93375,9223.80818
2019-06-29,536.97088,64.87436,4438.87932,1937.32215,11.81728,86.10291,12.1307,129.60092,486.20119,11.49253,8.12681,6.02807,940.68449,105.04779,1.81734,14.37391,250.01893,31.53685,29.17417,214.21463,,9325.71118
2019-07-28,482.5109,65.24145,4489.87012,2044.2275,10.10436,75.34162,9.8889,130.21993,515.63712,5.34348,13.40445,5.86736,1033.46876,104.57553,7.20152,11.79892,241.11313,33.32506,30.14093,46.76351,,9367.246589999999
2019-08-26,465.33306,63.92934,4524.80618,2200.36047,9.95691,70.99737,13.06691,128.04285,520.62488,10.18661,25.45261,3.9944,917.33538,140.55244,8.7427,11.64769,230.68306,32.096,30.69899,20.57646,,9439.808419999998
2019-09-24,492.08259,65.14176,4476.59084,2263.69375,10.69006,80.52532,13.37655,125.24284,572.41768,17.79351,31.74466,4.03098,951.28066,123.28243,8.41781,11.9104,231.48233,32.05389,34.89596,26.47277,,9583.029810000002
2019-10-23,475.67538,66.98518,4578.47696,2239.47596,5.40068,71.13181,15.84695,127.21258,596.48419,12.34886,29.99922,4.06881,1053.07317,97.85863,4.91562,11.87417,243.59815,32.56781,37.59652,95.30836,,9811.58943
2019-11-21,535.93757,68.56897,4858.73164,2119.51978,10.82146,78.1101,15.64635,117.79752,597.45485,15.85441,26.50179,4.10537,1076.49264,95.26076,5.03762,11.56025,224.63658,32.31214,40.5233,45.14084,,9992.074900000001
2019-12-20,552.89456,71.27966,5352.99897,1880.32905,11.72981,83.51673,15.45576,115.0648,519.58784,17.70921,29.54802,4.14317,1055.51101,116.83684,5.38207,11.09329,220.00924,37.51061,37.98734,63.44483,,10218.053049999999
2020-01-18,595.47593,70.54206,5705.89003,1583.8002,11.74178,84.80086,15.06773,159.64145,605.34785,20.1127,26.88767,4.18088,1057.26982,122.88458,6.62441,11.22768,217.94112,37.08639,45.29424,29.27869,,10430.468349999997
2020-02-16,532.4473,65.04206,5615.31351,1368.22419,11.80499,84.42204,13.76751,141.06747,615.41571,20.23172,26.65105,2.66142,1476.50514,125.94546,7.82885,10.69436,219.71884,38.40864,47.3294,64.84824,,10507.632909999998
2020-03-16,441.954,59.42169,5604.76952,1317.95401,10.54165,70.99203,13.78066,156.53982,604.72464,19.4781,25.76613,2.68656,1474.07324,120.0139,8.53978,10.64865,217.60722,39.24617,46.97946,66.11639,,10326.0163
2020-04-14,488.47841,66.09978,5769.8688,1128.72598,10.6677,83.90412,13.8215,158.44844,690.7823,21.74523,26.84016,2.71088,1516.4347,152.6108,8.75491,12.66179,222.04897,32.90929,54.35275,93.58902,,10577.1411
2020-05-13,530.19256,68.83518,5981.65431,1112.65461,11.36122,84.65621,14.27859,154.61768,707.47541,22.24103,29.11432,2.73601,1388.67411,199.48682,8.72523,12.72461,219.3474,31.28326,55.25531,134.95159,,10795.82328
2020-06-11,524.76623,70.85079,6311.17999,1020.41786,11.05596,98.41697,14.5966,152.92927,696.68324,20.72842,30.74954,2.75594,1359.26273,256.37106,14.49615,12.90853,221.23324,33.95833,54.84953,153.38427,,11085.79358
2020-07-10,524.03121,75.05481,6449.5177,992.28269,11.16822,102.12262,14.29268,152.8631,701.34969,21.4266,29.89965,2.78106,1550.44556,243.84921,15.09508,13.79309,230.00786,34.38631,54.21158,70.22639,,11307.821739999998
2020-08-08,544.78258,79.15586,6386.50257,1004.7049,10.90361,104.51373,13.36619,148.13333,701.00874,16.84469,37.10113,1.32725,1638.76512,245.15251,16.91302,11.32282,218.27238,33.07364,53.79533,63.90204,,11347.975079999998
